G1 | 80 | Сгенерирован маркер | Маркер #6
Маркер #6 | 80 | Session = 14,0379995875992
T1 - Y | 80 | Маркер иниц. срабатывание перехода | Маркер #6
G1 | 81 | Маркер покинул генератор | Маркер #6
Q1 | 81 | В очередь добавлен маркер | Маркер #6
T1 - Y | 81 | Переход завершил работу | Маркер #6
Маркер #5 | 82 | Session = 3,75324065936729
P1 | 82 | Маркер покинул позицию | Маркер #5
P2 | 82 | Позиция маркирована | Маркер #5
P3 | 82 | Позиция маркирована | Маркер #5
T3 - F | 82 | Переход завершил работу | Маркер #5
T2 - J | 82 | Маркер иниц. срабатывание перехода | Маркер #6
T4 - X | 82 | Маркер иниц. срабатывание перехода | Маркер #5
P3 | 83 | Маркер покинул позицию | Маркер #5
P5 | 83 | Позиция маркирована | Маркер #5
T4 - X | 83 | Переход завершил работу | Маркер #5
P1 | 83 | Позиция маркирована | Маркер #6
Q1 | 83 | Маркер покинул очередь | Маркер #6
P2 | 83 | Маркер покинул позицию | Маркер #5
T2 - J | 83 | Переход завершил работу | Маркер #6
T1 - Y | 83 | Маркер иниц. срабатывание перехода | Маркер #5
T3 - F | 83 | Маркер иниц. срабатывание перехода | Маркер #6
P5 | 84 | Маркер покинул позицию | Маркер #5
Q1 | 84 | В очередь добавлен маркер | Маркер #5
T1 - Y | 84 | Переход завершил работу | Маркер #5
Маркер #6 | 92 | Session = 5,03799958759919
P1 | 92 | Маркер покинул позицию | Маркер #6
P2 | 92 | Позиция маркирована | Маркер #6
P3 | 92 | Позиция маркирована | Маркер #6
T3 - F | 92 | Переход завершил работу | Маркер #6
T2 - J | 92 | Маркер иниц. срабатывание перехода | Маркер #5
T4 - X | 92 | Маркер иниц. срабатывание перехода | Маркер #6
G1 | 93 | Сгенерирован маркер | Маркер #7
Маркер #7 | 93 | Session = 12,0990790403448
P3 | 93 | Маркер покинул позицию | Маркер #6
P5 | 93 | Позиция маркирована | Маркер #6
T4 - X | 93 | Переход завершил работу | Маркер #6
P1 | 93 | Позиция маркирована | Маркер #5
Q1 | 93 | Маркер покинул очередь | Маркер #5
P2 | 93 | Маркер покинул позицию | Маркер #6
T2 - J | 93 | Переход завершил работу | Маркер #5
T1 - Y | 93 | Маркер иниц. срабатывание перехода | Маркер #6
T3 - F | 93 | Маркер иниц. срабатывание перехода | Маркер #5
P5 | 94 | Маркер покинул позицию | Маркер #6
Q1 | 94 | В очередь добавлен маркер | Маркер #6
T1 - Y | 94 | Переход завершил работу | Маркер #6
T1 - Y | 94 | Маркер иниц. срабатывание перехода | Маркер #7
G1 | 95 | Маркер покинул генератор | Маркер #7
Q1 | 95 | В очередь добавлен маркер | Маркер #7
T1 - Y | 95 | Переход завершил работу | Маркер #7
Маркер #5 | 102 | Session = -5,24675934063271
P1 | 102 | Маркер покинул позицию | Маркер #5
P2 | 102 | Позиция маркирована | Маркер #5
P3 | 102 | Позиция маркирована | Маркер #5
T3 - F | 102 | Переход завершил работу | Маркер #5
T2 - J | 102 | Маркер иниц. срабатывание перехода | Маркер #6
T4 - X | 102 | Маркер иниц. срабатывание перехода | Маркер #5
P3 | 103 | Маркер покинул позицию | Маркер #5
P4 | 103 | Позиция маркирована | Маркер #5
T4 - X | 103 | Переход завершил работу | Маркер #5
P1 | 103 | Позиция маркирована | Маркер #6
Q1 | 103 | Маркер покинул очередь | Маркер #6
P2 | 103 | Маркер покинул позицию | Маркер #5
T2 - J | 103 | Переход завершил работу | Маркер #6
